antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support,leverage,conviction
AG_AMEACA=1 & OUT_VEZES=2,AUTOR_SEXO=1,0.0445,0.7840028188865398,1.1335745335394287,0.05676,0.69162,0.0052436488,1.4277038172920062
ORIENT_SEX=1 & SIT_CONJUG=1,AUTOR_SEXO=1,0.22916,0.7838817814873094,1.133399527901607,0.29234,0.69162,0.026971809200000002,1.4269042291864518
AUTOR_SEXO=2 & OUT_VEZES=2,CS_RACA=1,0.03486,0.4269965703086722,1.1324366687229412,0.08164,0.37706,0.004076821599999999,1.0871488157332194
ORIENT_SEX=1 & SG_UF=33,AUTOR_SEXO=1,0.05416,0.7826589595375723,1.131631473262156,0.0692,0.69162,0.006299895999999999,1.4188760638297873
CS_RACA=1 & ORIENT_SEX=8,AG_AMEACA=2,0.06772,0.8196562575647544,1.131590492813809,0.08262,0.72434,0.007875029200000001,1.52852544966443
CS_RACA=4 & SIT_CONJUG=1,OUT_VEZES=2,0.08134,0.43348966105308034,1.131354162890386,0.18764,0.38316,0.009443857599999994,1.088841557855127
ORIENT_SEX=1 & OUT_VEZES=2,REDE_SAU=1,0.1565,0.6780175028160471,1.1310471137624647,0.23082,0.59946,0.018132642800000015,1.2439806620021527
CS_ESCOL_N=03,AUTOR_SEXO=1,0.1057,0.7821518425336688,1.1308982425807073,0.13514,0.69162,0.012234473199999998,1.4155731385869563
OUT_VEZES=1 & REDE_SAU=1,AUTOR_SEXO=1,0.18646,0.7821308724832214,1.1308679223897826,0.2384,0.69162,0.021577791999999985,1.4154368887177509
CS_ESCOL_N=03 & OUT_VEZES=2,AG_AMEACA=2,0.03972,0.8189690721649484,1.1306417872338246,0.0485,0.72434,0.004589509999999998,1.5227232346241455
CS_RACA=1 & ORIENT_SEX=1,AUTOR_SEXO=1,0.17948,0.78184352674682,1.1304524547393366,0.22956,0.69162,0.020711712800000004,1.413572539936102
CS_RACA=4 & ORIENT_SEX=8,OUT_VEZES=2,0.04236,0.4331288343558283,1.1304124500360901,0.0978,0.38316,0.004886952,1.088148484848485
SG_UF=35,ORIENT_SEX=1,0.16752,0.6705628052197583,1.1296162616147676,0.24982,0.59362,0.019221851600000006,1.233558342648846
CS_ESCOL_N=05,OUT_VEZES=1,0.0454,0.48859233749461906,1.1292754992248395,0.09292,0.43266,0.0051972328,1.109369377104377
CS_RACA=2 & REDE_SAU=1,ORIENT_SEX=1,0.03854,0.6700278164116829,1.128715030510567,0.05752,0.59362,0.004394977599999995,1.2315583561643832
CS_ESCOL_N=09 & OUT_VEZES=2,AG_AMEACA=2,0.05286,0.8172541743970315,1.1282742557321583,0.06468,0.72434,0.006009688799999996,1.5084339086294416
CS_ESCOL_N=06 & SG_UF=35,AUTOR_SEXO=1,0.05094,0.7803308823529411,1.1282653514255532,0.06528,0.69162,0.0057910463999999925,1.4038386610878657
ORIENT_SEX=8 & SIT_CONJUG=8,AG_AMEACA=2,0.14084,0.816937354988399,1.127836865268243,0.1724,0.72434,0.015963783999999995,1.5058233206590619
ORIENT_SEX=1 & SG_UF=35,AUTOR_SEXO=1,0.13066,0.7799665711556829,1.1277386009017711,0.16752,0.69162,0.014799817600000001,1.4015143136190993
OUT_VEZES=1 & SG_UF=33,ORIENT_SEX=1,0.03492,0.669221924108854,1.1273574409704086,0.05218,0.59362,0.003944908399999999,1.228557844727694
ORIENT_SEX=8 & SIT_CONJUG=8,OUT_VEZES=2,0.07446,0.43190255220417634,1.1272120059614166,0.1724,0.38316,0.008403216000000005,1.0857996324280175
AUTOR_SEXO=2 & REDE_SAU=2,AG_AMEACA=2,0.0452,0.8164739884393063,1.1271971566381898,0.05536,0.72434,0.005100537599999996,1.5020214173228343
CS_ESCOL_N=06 & SIT_CONJUG=1,AUTOR_SEXO=1,0.06792,0.7792565396971087,1.126711980129419,0.08716,0.69162,0.007638400799999993,1.3970062785862782
SG_UF=23,ORIENT_SEX=1,0.03154,0.6687871077184054,1.1266249582534371,0.04716,0.59362,0.003544880799999997,1.2269449935979513
AG_AMEACA=2 & CS_ESCOL_N=06,CS_RACA=1,0.0514,0.42479338842975206,1.1265936148882196,0.121,0.37706,0.005775740000000001,1.0829847701149427
CS_ESCOL_N=06 & OUT_VEZES=2,CS_RACA=1,0.03252,0.424321503131524,1.1253421289225163,0.07664,0.37706,0.0036221216,1.0820970444242974
CS_ESCOL_N=06 & CS_RACA=1,OUT_VEZES=2,0.03252,0.4311853619729515,1.1253402285545242,0.07542,0.38316,0.0036220728000000008,1.0844306013986016
CS_RACA=1 & SG_UF=35,OUT_VEZES=2,0.0553,0.43115546546078276,1.1252622023718102,0.12826,0.38316,0.006155898399999998,1.0843736074561403
CS_RACA=1 & OUT_VEZES=1,AUTOR_SEXO=1,0.13108,0.7781999525053431,1.1251842811158486,0.16844,0.69162,0.014583527200000002,1.3903513704496786
CS_ESCOL_N=05 & OUT_VEZES=2,AG_AMEACA=2,0.0317,0.8149100257069409,1.1250380010864247,0.0389,0.72434,0.0035231740000000004,1.4893297222222228
AG_AMEACA=2 & OUT_VEZES=2,SIT_CONJUG=1,0.13958,0.44198860037998733,1.124881910770608,0.3158,0.39292,0.015495863999999998,1.0879347633639769
AUTOR_SEXO=1 & SIT_CONJUG=1,OUT_VEZES=1,0.14368,0.4864572047670639,1.1243406017821473,0.29536,0.43266,0.015889542400000012,1.104757004219409
AUTOR_SEXO=2 & ORIENT_SEX=1,REDE_SAU=1,0.05122,0.673770060510392,1.1239616663503686,0.07602,0.59946,0.0056490507999999995,1.227784306451613
CS_RACA=1 & REDE_SAU=1,OUT_VEZES=2,0.10254,0.4304424481571657,1.123401315787571,0.23822,0.38316,0.01126362480000001,1.08301610259434
SIT_CONJUG=8,AG_AMEACA=2,0.15166,0.8132775632775632,1.1227842771040715,0.18648,0.72434,0.016585076799999987,1.4763089259046518
ORIENT_SEX=1 & SG_UF=35,OUT_VEZES=2,0.07202,0.42991881566380136,1.1220347000308,0.16752,0.38316,0.007833036799999998,1.0820213277486914
AG_AMEACA=2 & CS_ESCOL_N=03,ORIENT_SEX=1,0.0643,0.6660451626268904,1.1220059341445543,0.09654,0.59362,0.006991925199999992,1.2168711290322578
CS_ESCOL_N=06 & CS_RACA=1,OUT_VEZES=1,0.0366,0.48528241845664283,1.1216253373472076,0.07542,0.43266,0.003968782800000001,1.1022355177743433
ORIENT_SEX=8,OUT_VEZES=2,0.08918,0.42974171164225133,1.1215724805362024,0.20752,0.38316,0.00966663679999999,1.0816852864627344
AUTOR_SEXO=2 & SG_UF=35,AG_AMEACA=2,0.0359,0.8122171945701357,1.1213203669135154,0.0442,0.72434,0.0038841719999999982,1.467972530120482
AG_AMEACA=2 & SG_UF=31,REDE_SAU=1,0.04318,0.6721668742216688,1.1212872822568125,0.06424,0.59946,0.0046706896,1.2217801329534663
CS_ESCOL_N=05 & CS_RACA=4,AUTOR_SEXO=1,0.03564,0.7754569190600522,1.1212181820364537,0.04596,0.69162,0.0038531447999999996,1.3733667441860464
AUTOR_SEXO=2 & SIT_CONJUG=1,AG_AMEACA=2,0.04822,0.8120579319636241,1.1211004941928158,0.05938,0.72434,0.005208690799999999,1.4667285663082434
CS_RACA=4 & SIT_CONJUG=8,AG_AMEACA=2,0.07098,0.8117566331198536,1.120684530910696,0.08744,0.72434,0.007643710400000003,1.4643809477521261
CS_ESCOL_N=05,AUTOR_SEXO=1,0.072,0.7748600947051226,1.120355245228771,0.09292,0.69162,0.007734669599999994,1.369726080305927
CS_RACA=1 & SG_UF=35,ORIENT_SEX=1,0.08522,0.6644316232652424,1.1192877990385135,0.12826,0.59362,0.009082298799999985,1.2110199535315982
ORIENT_SEX=1 & SG_UF=35,OUT_VEZES=1,0.08112,0.48424068767908307,1.11921760199483,0.16752,0.43266,0.008640796800000003,1.100009222222222
CS_RACA=1 & OUT_VEZES=2,SIT_CONJUG=1,0.06622,0.43970783532536517,1.119077255740011,0.1506,0.39292,0.007046247999999998,1.083506138895473
CS_RACA=4 & ORIENT_SEX=8,AG_AMEACA=2,0.07926,0.8104294478527607,1.1188522625462638,0.0978,0.72434,0.008419547999999999,1.4541288025889967
AUTOR_SEXO=1 & CS_RACA=4,SIT_CONJUG=1,0.14194,0.43955159172550484,1.1186796083821258,0.32292,0.39292,0.015058273600000033,1.083204075588463
OUT_VEZES=2 & REDE_SAU=2,AG_AMEACA=2,0.09846,0.8102369980250165,1.1185865726385626,0.12152,0.72434,0.01043820320000001,1.4526540849956637
CS_RACA=2,ORIENT_SEX=1,0.06616,0.6634576815082229,1.1176471168562765,0.09972,0.59362,0.006964213599999991,1.2075153039332533
OUT_VEZES=2 & REDE_SAU=2,SIT_CONJUG=1,0.05336,0.4391046741277156,1.1175421819396203,0.12152,0.39292,0.005612361599999997,1.082340985915493
CS_ESCOL_N=10 & ORIENT_SEX=8,CS_RACA=1,0.04838,0.4212817833507489,1.1172804947508324,0.11484,0.37706,0.0050784295999999965,1.0764133253084565
CS_ESCOL_N=05 & REDE_SAU=1,AUTOR_SEXO=1,0.0437,0.7723577235772359,1.116737115145941,0.05658,0.69162,0.004568140400000004,1.3546692857142861
